%TITLE%
 OUN   240316/1200
 Saved by user: Sean on 20240316/1647 UTC
   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  299.00,   9382.64,    -45.96,    -53.30,  -9999.00,  -9999.00
  298.00,   9405.33,    -46.19,    -53.70,  -9999.00,  -9999.00
  294.00,   9496.75,    -46.76,    -54.89,    243.59,     78.14
  293.00,   9519.78,    -46.96,    -55.47,  -9999.00,  -9999.00
  292.00,   9542.87,    -47.17,    -55.06,  -9999.00,  -9999.00
  290.00,   9589.23,    -47.07,    -55.11,  -9999.00,  -9999.00
  288.00,   9635.82,    -47.55,    -56.00,  -9999.00,  -9999.00
  284.00,   9729.74,    -47.94,    -55.01,  -9999.00,  -9999.00
  281.00,   9800.84,    -48.31,    -58.54,  -9999.00,  -9999.00
  265.00,  10189.52,    -51.05,    -60.04,  -9999.00,  -9999.00
  261.00,  10289.33,    -52.26,    -59.93,  -9999.00,  -9999.00
  260.00,  10314.46,    -53.06,    -59.85,  -9999.00,  -9999.00
  255.00,  10441.26,    -54.06,    -60.58,  -9999.00,  -9999.00
  251.00,  10544.08,    -53.56,    -61.49,  -9999.00,  -9999.00
  250.00,  10570.00,    -54.00,    -61.62,    244.23,     82.09
  249.00,  10595.94,    -54.26,    -61.55,  -9999.00,  -9999.00
  248.00,  10621.95,    -54.77,    -60.50,  -9999.00,  -9999.00
  245.00,  10700.50,    -55.33,    -60.10,  -9999.00,  -9999.00
  242.00,  10779.83,    -55.97,    -64.50,  -9999.00,  -9999.00
  238.00,  10886.80,    -56.62,    -64.50,  -9999.00,  -9999.00
  233.00,  11022.51,    -58.31,    -63.73,  -9999.00,  -9999.00
  229.00,  11132.79,    -59.38,    -64.54,  -9999.00,  -9999.00
  224.00,  11272.74,    -60.04,    -66.68,  -9999.00,  -9999.00
  217.00,  11472.70,    -61.66,    -65.90,  -9999.00,  -9999.00
  214.00,  11559.93,    -62.15,    -66.50,  -9999.00,  -9999.00
  206.00,  11797.21,    -63.44,    -71.88,  -9999.00,  -9999.00
  205.00,  11827.36,    -63.69,    -72.75,  -9999.00,  -9999.00
  201.00,  11949.22,    -64.86,    -73.81,  -9999.00,  -9999.00
